CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year,lag_1w,lag_2w,lag_3w,lag_4w,lag_8w,roll_4w_mean,roll_8w_mean,roll_4w_std
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-08-22,2022-08-28,2022,8,34,3.0,3.0,3.0,4.0,2.0,3.25,3.125,0.500000000000001
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-08-29,2022-09-04,2022,8,35,1.0,3.0,3.0,3.0,1.0,2.5,3.0,1.0
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-09-05,2022-09-11,2022,9,36,4.0,1.0,3.0,3.0,3.0,2.75,3.375,1.2583057392117916
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,8.0,2022-09-12,2022-09-18,2022,9,37,2.0,4.0,1.0,3.0,6.0,2.5,3.25,1.2909944487358056
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-03,2022-10-09,2022,10,40,8.0,2.0,4.0,1.0,4.0,3.75,3.5,3.095695936834452
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2022-10-10,2022-10-16,2022,10,41,1.0,8.0,2.0,4.0,3.0,3.75,3.125,3.095695936834452
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-10-17,2022-10-23,2022,10,42,6.0,1.0,8.0,2.0,3.0,4.25,3.5,3.304037933599835
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-24,2022-10-30,2022,10,43,4.0,6.0,1.0,8.0,3.0,4.75,3.625,2.9860788111948193
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-10-31,2022-11-06,2022,10,44,1.0,4.0,6.0,1.0,1.0,3.0,3.375,2.449489742783178
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-11-07,2022-11-13,2022,11,45,1.0,1.0,4.0,6.0,4.0,3.0,3.375,2.449489742783178
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-11-14,2022-11-20,2022,11,46,1.0,1.0,1.0,4.0,2.0,1.75,3.0,1.5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2022-11-21,2022-11-27,2022,11,47,2.0,1.0,1.0,1.0,8.0,1.25,3.0,0.5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2022-12-12,2022-12-18,2022,12,50,4.0,2.0,1.0,1.0,1.0,2.0,2.5,1.4142135623730951
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2022-12-26,2023-01-01,2022,12,52,1.0,4.0,2.0,1.0,6.0,2.0,2.5,1.4142135623730951
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,3.0,2023-01-09,2023-01-15,2023,1,2,2.0,1.0,4.0,2.0,4.0,2.25,2.0,1.2583057392117918
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,2.0,2023-01-23,2023-01-29,2023,1,4,3.0,2.0,1.0,4.0,1.0,2.5,1.875,1.2909944487358058
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-01-30,2023-02-05,2023,1,5,2.0,3.0,2.0,1.0,1.0,2.0,2.0,0.8164965809277263
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-02-06,2023-02-12,2023,2,6,6.0,2.0,3.0,2.0,1.0,3.25,2.625,1.8929694486000912
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,4.0,2023-02-13,2023-02-19,2023,2,7,4.0,6.0,2.0,3.0,2.0,3.75,3.0,1.7078251276599332
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,5.0,2023-02-20,2023-02-26,2023,2,8,4.0,4.0,6.0,2.0,4.0,4.0,3.25,1.6329931618554523
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,1.0,2023-02-27,2023-03-05,2023,2,9,5.0,4.0,4.0,6.0,1.0,4.75,3.375,0.9574271077563382
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,7.0,2023-03-06,2023-03-12,2023,3,10,1.0,5.0,4.0,4.0,2.0,3.5,3.375,1.7320508075688772
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,8.0,2023-03-13,2023-03-19,2023,3,11,7.0,1.0,5.0,4.0,3.0,4.25,4.0,2.5
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,7.0,2023-03-20,2023-03-26,2023,3,12,8.0,7.0,1.0,5.0,2.0,5.25,4.625,3.095695936834452
5AA080062,ALCOOL 70° DEZENFEKT SPR 70° SPRAY (01),1.0,6.0,2023-03-27,2023-04-02,2023,3,13,7.0,8.0,7.0,1.0,6.0,5.75,5.25,3.2015621187164243
